merchant,prediction_date,risk_score,alert,previous_7d_average_transaction_amount,previous_7d_maximum_transaction_amount,previous_7d_total_transaction_amount,previous_14d_transaction_count,previous_14d_fraud_rate,previous_7d_transaction_count_change,explanation
fraud_Doyle Ltd,2020-05-10,0.8670486461165585,1,116.1991304347826,290.48,2672.58,54.0,0.05555555555555555,-8.0,Historical evidence only: prior 7-day average transaction amount 116.20; prior 7-day maximum transaction amount 290.48; prior 7-day total transaction amount 2672.58; prior 14-day transaction count 54; prior 14-day fraud rate 0.055556; recent 7-day transaction-count change versus the preceding 7 days -8.
fraud_Kilback LLC,2020-05-18,0.8669549741406254,1,89.6895744680851,278.62,4215.41,102.0,0.0196078431372549,-8.0,Historical evidence only: prior 7-day average transaction amount 89.69; prior 7-day maximum transaction amount 278.62; prior 7-day total transaction amount 4215.41; prior 14-day transaction count 102; prior 14-day fraud rate 0.019608; recent 7-day transaction-count change versus the preceding 7 days -8.
fraud_Torphy-Goyette,2020-05-18,0.8669011825471871,1,17.522799999999965,118.14,438.0699999999991,53.0,0.03773584905660377,-3.0,Historical evidence only: prior 7-day average transaction amount 17.52; prior 7-day maximum transaction amount 118.14; prior 7-day total transaction amount 438.07; prior 14-day transaction count 53; prior 14-day fraud rate 0.037736; recent 7-day transaction-count change versus the preceding 7 days -3.
fraud_Goodwin-Nitzsche,2020-06-13,0.8667214601424678,1,112.91833333333332,213.42,4742.57,91.0,0.0,-7.0,Historical evidence only: prior 7-day average transaction amount 112.92; prior 7-day maximum transaction amount 213.42; prior 7-day total transaction amount 4742.57; prior 14-day transaction count 91; prior 14-day fraud rate 0.000000; recent 7-day transaction-count change versus the preceding 7 days -7.
fraud_Kilback LLC,2020-05-07,0.8658138234830598,1,87.62921052631579,324.8,3329.91,91.0,0.02197802197802198,-15.0,Historical evidence only: prior 7-day average transaction amount 87.63; prior 7-day maximum transaction amount 324.80; prior 7-day total transaction amount 3329.91; prior 14-day transaction count 91; prior 14-day fraud rate 0.021978; recent 7-day transaction-count change versus the preceding 7 days -15.
fraud_Barton Inc,2020-06-02,0.8645361003785829,1,109.04081632653062,223.39,5343.0,85.0,0.023529411764705882,13.0,Historical evidence only: prior 7-day average transaction amount 109.04; prior 7-day maximum transaction amount 223.39; prior 7-day total transaction amount 5343.00; prior 14-day transaction count 85; prior 14-day fraud rate 0.023529; recent 7-day transaction-count change versus the preceding 7 days 13.
fraud_Cormier LLC,2020-06-10,0.864409766327181,1,84.49522727272729,916.28,3717.790000000001,98.0,0.02040816326530612,-10.0,Historical evidence only: prior 7-day average transaction amount 84.50; prior 7-day maximum transaction amount 916.28; prior 7-day total transaction amount 3717.79; prior 14-day transaction count 98; prior 14-day fraud rate 0.020408; recent 7-day transaction-count change versus the preceding 7 days -10.
fraud_Kuhn LLC,2020-06-05,0.8640572307202806,1,57.49071428571431,810.62,3219.4800000000014,107.0,0.018691588785046728,5.0,Historical evidence only: prior 7-day average transaction amount 57.49; prior 7-day maximum transaction amount 810.62; prior 7-day total transaction amount 3219.48; prior 14-day transaction count 107; prior 14-day fraud rate 0.018692; recent 7-day transaction-count change versus the preceding 7 days 5.
"fraud_Mosciski, Gislason and Mertz",2020-05-16,0.8635047338688971,1,139.8244,315.09,3495.6099999999997,48.0,0.041666666666666664,2.0,Historical evidence only: prior 7-day average transaction amount 139.82; prior 7-day maximum transaction amount 315.09; prior 7-day total transaction amount 3495.61; prior 14-day transaction count 48; prior 14-day fraud rate 0.041667; recent 7-day transaction-count change versus the preceding 7 days 2.
fraud_Schumm PLC,2020-05-15,0.8623735233133759,1,147.18155555555555,1348.03,6623.169999999999,94.0,0.02127659574468085,-4.0,Historical evidence only: prior 7-day average transaction amount 147.18; prior 7-day maximum transaction amount 1348.03; prior 7-day total transaction amount 6623.17; prior 14-day transaction count 94; prior 14-day fraud rate 0.021277; recent 7-day transaction-count change versus the preceding 7 days -4.
"fraud_Weimann, Kuhic and Beahan",2020-06-11,0.8617627191219205,1,85.56454545454547,989.86,3764.8400000000006,95.0,0.021052631578947368,-7.0,Historical evidence only: prior 7-day average transaction amount 85.56; prior 7-day maximum transaction amount 989.86; prior 7-day total transaction amount 3764.84; prior 14-day transaction count 95; prior 14-day fraud rate 0.021053; recent 7-day transaction-count change versus the preceding 7 days -7.
fraud_Heidenreich PLC,2020-06-06,0.8612851219953603,1,116.6641935483871,291.1,3616.59,81.0,0.012345679012345678,-19.0,Historical evidence only: prior 7-day average transaction amount 116.66; prior 7-day maximum transaction amount 291.10; prior 7-day total transaction amount 3616.59; prior 14-day transaction count 81; prior 14-day fraud rate 0.012346; recent 7-day transaction-count change versus the preceding 7 days -19.
fraud_Rutherford-Mertz,2020-05-21,0.8603874586650251,1,141.8704,290.71,3546.7599999999998,58.0,0.034482758620689655,-8.0,Historical evidence only: prior 7-day average transaction amount 141.87; prior 7-day maximum transaction amount 290.71; prior 7-day total transaction amount 3546.76; prior 14-day transaction count 58; prior 14-day fraud rate 0.034483; recent 7-day transaction-count change versus the preceding 7 days -8.
fraud_Miller-Hauck,2020-06-13,0.8597100857052729,1,111.32325581395348,233.07,4786.9,84.0,0.023809523809523808,2.0,Historical evidence only: prior 7-day average transaction amount 111.32; prior 7-day maximum transaction amount 233.07; prior 7-day total transaction amount 4786.90; prior 14-day transaction count 84; prior 14-day fraud rate 0.023810; recent 7-day transaction-count change versus the preceding 7 days 2.
fraud_Cormier LLC,2020-06-11,0.8595984983101194,1,81.09295454545457,916.28,3568.090000000001,100.0,0.02,-12.0,Historical evidence only: prior 7-day average transaction amount 81.09; prior 7-day maximum transaction amount 916.28; prior 7-day total transaction amount 3568.09; prior 14-day transaction count 100; prior 14-day fraud rate 0.020000; recent 7-day transaction-count change versus the preceding 7 days -12.
fraud_Barton Inc,2020-06-10,0.8595661682890338,1,116.62000000000002,232.7,4898.040000000001,94.0,0.0,-10.0,Historical evidence only: prior 7-day average transaction amount 116.62; prior 7-day maximum transaction amount 232.70; prior 7-day total transaction amount 4898.04; prior 14-day transaction count 94; prior 14-day fraud rate 0.000000; recent 7-day transaction-count change versus the preceding 7 days -10.
fraud_Schumm PLC,2020-05-26,0.8587422111015006,1,73.73098039215685,992.74,3760.2799999999997,100.0,0.01,2.0,Historical evidence only: prior 7-day average transaction amount 73.73; prior 7-day maximum transaction amount 992.74; prior 7-day total transaction amount 3760.28; prior 14-day transaction count 100; prior 14-day fraud rate 0.010000; recent 7-day transaction-count change versus the preceding 7 days 2.
fraud_Schumm PLC,2020-06-08,0.8585330628610613,1,104.34211538461537,1088.48,5425.789999999999,106.0,0.018867924528301886,-2.0,Historical evidence only: prior 7-day average transaction amount 104.34; prior 7-day maximum transaction amount 1088.48; prior 7-day total transaction amount 5425.79; prior 14-day transaction count 106; prior 14-day fraud rate 0.018868; recent 7-day transaction-count change versus the preceding 7 days -2.
"fraud_Moen, Reinger and Murphy",2020-05-02,0.8578758587694663,1,129.529,227.68,2590.58,61.0,0.0,-21.0,Historical evidence only: prior 7-day average transaction amount 129.53; prior 7-day maximum transaction amount 227.68; prior 7-day total transaction amount 2590.58; prior 14-day transaction count 61; prior 14-day fraud rate 0.000000; recent 7-day transaction-count change versus the preceding 7 days -21.
fraud_Kilback LLC,2020-05-30,0.8573948520586592,1,91.05018181818183,320.85,5007.76,111.0,0.009009009009009009,-1.0,Historical evidence only: prior 7-day average transaction amount 91.05; prior 7-day maximum transaction amount 320.85; prior 7-day total transaction amount 5007.76; prior 14-day transaction count 111; prior 14-day fraud rate 0.009009; recent 7-day transaction-count change versus the preceding 7 days -1.
fraud_Doyle Ltd,2020-06-12,0.8555935179489004,1,116.48589743589746,310.9,4542.950000000001,83.0,0.024096385542168676,-5.0,Historical evidence only: prior 7-day average transaction amount 116.49; prior 7-day maximum transaction amount 310.90; prior 7-day total transaction amount 4542.95; prior 14-day transaction count 83; prior 14-day fraud rate 0.024096; recent 7-day transaction-count change versus the preceding 7 days -5.
fraud_Schumm PLC,2020-05-10,0.8553455563641386,1,95.64044444444444,1170.12,4303.82,94.0,0.02127659574468085,-4.0,Historical evidence only: prior 7-day average transaction amount 95.64; prior 7-day maximum transaction amount 1170.12; prior 7-day total transaction amount 4303.82; prior 14-day transaction count 94; prior 14-day fraud rate 0.021277; recent 7-day transaction-count change versus the preceding 7 days -4.
"fraud_Schumm, Bauch and Ondricka",2020-05-18,0.8544925363489068,1,140.57612903225805,288.3,4357.86,71.0,0.028169014084507043,-9.0,Historical evidence only: prior 7-day average transaction amount 140.58; prior 7-day maximum transaction amount 288.30; prior 7-day total transaction amount 4357.86; prior 14-day transaction count 71; prior 14-day fraud rate 0.028169; recent 7-day transaction-count change versus the preceding 7 days -9.
fraud_Koepp-Witting,2020-06-12,0.8538102983214103,1,124.08874999999998,219.07,4963.549999999999,87.0,0.022988505747126436,-7.0,Historical evidence only: prior 7-day average transaction amount 124.09; prior 7-day maximum transaction amount 219.07; prior 7-day total transaction amount 4963.55; prior 14-day transaction count 87; prior 14-day fraud rate 0.022989; recent 7-day transaction-count change versus the preceding 7 days -7.
"fraud_Goldner, Kovacek and Abbott",2020-05-10,0.8536291906667485,1,113.0651851851852,296.85,3052.76,59.0,0.05084745762711865,-5.0,Historical evidence only: prior 7-day average transaction amount 113.07; prior 7-day maximum transaction amount 296.85; prior 7-day total transaction amount 3052.76; prior 14-day transaction count 59; prior 14-day fraud rate 0.050847; recent 7-day transaction-count change versus the preceding 7 days -5.
fraud_Bogisich Inc,2020-06-07,0.8534232454974506,1,107.05488372093022,215.74,4603.36,82.0,0.024390243902439025,4.0,Historical evidence only: prior 7-day average transaction amount 107.05; prior 7-day maximum transaction amount 215.74; prior 7-day total transaction amount 4603.36; prior 14-day transaction count 82; prior 14-day fraud rate 0.024390; recent 7-day transaction-count change versus the preceding 7 days 4.
fraud_DuBuque LLC,2020-06-03,0.8528707825488924,1,103.95888888888888,229.56,2806.89,71.0,0.0,-17.0,Historical evidence only: prior 7-day average transaction amount 103.96; prior 7-day maximum transaction amount 229.56; prior 7-day total transaction amount 2806.89; prior 14-day transaction count 71; prior 14-day fraud rate 0.000000; recent 7-day transaction-count change versus the preceding 7 days -17.
"fraud_Langworth, Boehm and Gulgowski",2020-05-12,0.8521997641958019,1,53.91733333333333,666.11,1617.52,61.0,0.04918032786885246,-1.0,Historical evidence only: prior 7-day average transaction amount 53.92; prior 7-day maximum transaction amount 666.11; prior 7-day total transaction amount 1617.52; prior 14-day transaction count 61; prior 14-day fraud rate 0.049180; recent 7-day transaction-count change versus the preceding 7 days -1.
"fraud_Goldner, Kovacek and Abbott",2020-05-09,0.8519729346574526,1,111.83714285714288,296.85,3131.4400000000005,60.0,0.05,-4.0,Historical evidence only: prior 7-day average transaction amount 111.84; prior 7-day maximum transaction amount 296.85; prior 7-day total transaction amount 3131.44; prior 14-day transaction count 60; prior 14-day fraud rate 0.050000; recent 7-day transaction-count change versus the preceding 7 days -4.
fraud_Hackett-Lueilwitz,2020-05-18,0.851836248430837,1,129.1504347826087,290.67,2970.46,54.0,0.037037037037037035,-8.0,Historical evidence only: prior 7-day average transaction amount 129.15; prior 7-day maximum transaction amount 290.67; prior 7-day total transaction amount 2970.46; prior 14-day transaction count 54; prior 14-day fraud rate 0.037037; recent 7-day transaction-count change versus the preceding 7 days -8.
fraud_Terry-Huel,2020-05-06,0.8516768587143251,1,285.71214285714285,2976.41,7999.9400000000005,46.0,0.06521739130434782,10.0,Historical evidence only: prior 7-day average transaction amount 285.71; prior 7-day maximum transaction amount 2976.41; prior 7-day total transaction amount 7999.94; prior 14-day transaction count 46; prior 14-day fraud rate 0.065217; recent 7-day transaction-count change versus the preceding 7 days 10.
fraud_Kiehn Inc,2020-06-02,0.8515857165074486,1,122.68435897435896,319.12,4784.69,83.0,0.024096385542168676,-5.0,Historical evidence only: prior 7-day average transaction amount 122.68; prior 7-day maximum transaction amount 319.12; prior 7-day total transaction amount 4784.69; prior 14-day transaction count 83; prior 14-day fraud rate 0.024096; recent 7-day transaction-count change versus the preceding 7 days -5.
fraud_Bauch-Raynor,2020-06-14,0.851148482500642,1,128.87688888888889,296.06,5799.46,85.0,0.023529411764705882,5.0,Historical evidence only: prior 7-day average transaction amount 128.88; prior 7-day maximum transaction amount 296.06; prior 7-day total transaction amount 5799.46; prior 14-day transaction count 85; prior 14-day fraud rate 0.023529; recent 7-day transaction-count change versus the preceding 7 days 5.
"fraud_Altenwerth, Cartwright and Koss",2020-05-18,0.8507228707471052,1,91.93400000000001,601.33,2298.3500000000004,45.0,0.06666666666666667,5.0,Historical evidence only: prior 7-day average transaction amount 91.93; prior 7-day maximum transaction amount 601.33; prior 7-day total transaction amount 2298.35; prior 14-day transaction count 45; prior 14-day fraud rate 0.066667; recent 7-day transaction-count change versus the preceding 7 days 5.
"fraud_Moen, Reinger and Murphy",2020-05-04,0.8504612071330281,1,138.04080000000002,290.45,3451.0200000000004,58.0,0.017241379310344827,-8.0,Historical evidence only: prior 7-day average transaction amount 138.04; prior 7-day maximum transaction amount 290.45; prior 7-day total transaction amount 3451.02; prior 14-day transaction count 58; prior 14-day fraud rate 0.017241; recent 7-day transaction-count change versus the preceding 7 days -8.
fraud_Padberg-Welch,2020-06-09,0.8494451838427987,1,126.5470731707317,327.0,5188.429999999999,79.0,0.02531645569620253,3.0,Historical evidence only: prior 7-day average transaction amount 126.55; prior 7-day maximum transaction amount 327.00; prior 7-day total transaction amount 5188.43; prior 14-day transaction count 79; prior 14-day fraud rate 0.025316; recent 7-day transaction-count change versus the preceding 7 days 3.
fraud_Kuhn LLC,2020-06-11,0.8490833938950925,1,102.31409090909095,1376.04,4501.8200000000015,102.0,0.0196078431372549,-14.0,Historical evidence only: prior 7-day average transaction amount 102.31; prior 7-day maximum transaction amount 1376.04; prior 7-day total transaction amount 4501.82; prior 14-day transaction count 102; prior 14-day fraud rate 0.019608; recent 7-day transaction-count change versus the preceding 7 days -14.
fraud_Kiehn Inc,2020-06-03,0.8485923367421565,1,115.65095238095239,319.12,4857.34,80.0,0.025,4.0,Historical evidence only: prior 7-day average transaction amount 115.65; prior 7-day maximum transaction amount 319.12; prior 7-day total transaction amount 4857.34; prior 14-day transaction count 80; prior 14-day fraud rate 0.025000; recent 7-day transaction-count change versus the preceding 7 days 4.
fraud_Kuhn LLC,2020-06-12,0.8483951708012059,1,89.85534883720933,1376.04,3863.780000000001,99.0,0.020202020202020204,-13.0,Historical evidence only: prior 7-day average transaction amount 89.86; prior 7-day maximum transaction amount 1376.04; prior 7-day total transaction amount 3863.78; prior 14-day transaction count 99; prior 14-day fraud rate 0.020202; recent 7-day transaction-count change versus the preceding 7 days -13.
fraud_Hudson-Ratke,2020-05-13,0.8483828470502861,1,102.29518518518519,172.22,2761.9700000000003,54.0,0.0,0.0,Historical evidence only: prior 7-day average transaction amount 102.30; prior 7-day maximum transaction amount 172.22; prior 7-day total transaction amount 2761.97; prior 14-day transaction count 54; prior 14-day fraud rate 0.000000; recent 7-day transaction-count change versus the preceding 7 days 0.
fraud_Doyle Ltd,2020-06-13,0.8482698879818475,1,110.98052631578946,310.9,4217.259999999999,84.0,0.023809523809523808,-8.0,Historical evidence only: prior 7-day average transaction amount 110.98; prior 7-day maximum transaction amount 310.90; prior 7-day total transaction amount 4217.26; prior 14-day transaction count 84; prior 14-day fraud rate 0.023810; recent 7-day transaction-count change versus the preceding 7 days -8.
fraud_Goodwin-Nitzsche,2020-05-04,0.8476550616922205,1,117.7017391304348,302.24,5414.280000000001,86.0,0.023255813953488372,6.0,Historical evidence only: prior 7-day average transaction amount 117.70; prior 7-day maximum transaction amount 302.24; prior 7-day total transaction amount 5414.28; prior 14-day transaction count 86; prior 14-day fraud rate 0.023256; recent 7-day transaction-count change versus the preceding 7 days 6.
fraud_Bauch-Raynor,2020-06-12,0.8475691554146803,1,126.43853658536587,296.06,5183.9800000000005,81.0,0.024691358024691357,1.0,Historical evidence only: prior 7-day average transaction amount 126.44; prior 7-day maximum transaction amount 296.06; prior 7-day total transaction amount 5183.98; prior 14-day transaction count 81; prior 14-day fraud rate 0.024691; recent 7-day transaction-count change versus the preceding 7 days 1.
fraud_Heidenreich PLC,2020-06-07,0.8472538991782704,1,116.68781249999999,291.1,3734.0099999999998,82.0,0.012195121951219513,-18.0,Historical evidence only: prior 7-day average transaction amount 116.69; prior 7-day maximum transaction amount 291.10; prior 7-day total transaction amount 3734.01; prior 14-day transaction count 82; prior 14-day fraud rate 0.012195; recent 7-day transaction-count change versus the preceding 7 days -18.
fraud_Rau and Sons,2020-06-12,0.846556824379278,1,123.5142105263158,288.6,4693.54,92.0,0.0,-16.0,Historical evidence only: prior 7-day average transaction amount 123.51; prior 7-day maximum transaction amount 288.60; prior 7-day total transaction amount 4693.54; prior 14-day transaction count 92; prior 14-day fraud rate 0.000000; recent 7-day transaction-count change versus the preceding 7 days -16.
"fraud_Weimann, Kuhic and Beahan",2020-06-12,0.8465400873108022,1,72.03800000000001,613.97,3241.7100000000005,96.0,0.020833333333333332,-6.0,Historical evidence only: prior 7-day average transaction amount 72.04; prior 7-day maximum transaction amount 613.97; prior 7-day total transaction amount 3241.71; prior 14-day transaction count 96; prior 14-day fraud rate 0.020833; recent 7-day transaction-count change versus the preceding 7 days -6.
fraud_O'Keefe-Hudson,2020-06-01,0.8462323969721888,1,108.33300000000001,219.04,4333.320000000001,77.0,0.0,3.0,Historical evidence only: prior 7-day average transaction amount 108.33; prior 7-day maximum transaction amount 219.04; prior 7-day total transaction amount 4333.32; prior 14-day transaction count 77; prior 14-day fraud rate 0.000000; recent 7-day transaction-count change versus the preceding 7 days 3.
fraud_Kilback LLC,2020-05-02,0.8461620854368668,1,93.02137254901962,286.36,4744.09,103.0,0.019417475728155338,-1.0,Historical evidence only: prior 7-day average transaction amount 93.02; prior 7-day maximum transaction amount 286.36; prior 7-day total transaction amount 4744.09; prior 14-day transaction count 103; prior 14-day fraud rate 0.019417; recent 7-day transaction-count change versus the preceding 7 days -1.
fraud_Goodwin-Nitzsche,2020-06-11,0.8460121336499633,1,108.58210526315789,194.29,4126.12,88.0,0.0,-12.0,Historical evidence only: prior 7-day average transaction amount 108.58; prior 7-day maximum transaction amount 194.29; prior 7-day total transaction amount 4126.12; prior 14-day transaction count 88; prior 14-day fraud rate 0.000000; recent 7-day transaction-count change versus the preceding 7 days -12.
fraud_Kiehn Inc,2020-06-06,0.8456040944306914,1,110.87209302325581,224.95,4767.5,79.0,0.02531645569620253,7.0,Historical evidence only: prior 7-day average transaction amount 110.87; prior 7-day maximum transaction amount 224.95; prior 7-day total transaction amount 4767.50; prior 14-day transaction count 79; prior 14-day fraud rate 0.025316; recent 7-day transaction-count change versus the preceding 7 days 7.
fraud_Bogisich Inc,2020-06-06,0.8455845711395822,1,106.06159090909091,215.74,4666.71,80.0,0.025,8.0,Historical evidence only: prior 7-day average transaction amount 106.06; prior 7-day maximum transaction amount 215.74; prior 7-day total transaction amount 4666.71; prior 14-day transaction count 80; prior 14-day fraud rate 0.025000; recent 7-day transaction-count change versus the preceding 7 days 8.
fraud_Doyle Ltd,2020-06-14,0.844830601436046,1,106.32970588235294,217.06,3615.21,80.0,0.025,-12.0,Historical evidence only: prior 7-day average transaction amount 106.33; prior 7-day maximum transaction amount 217.06; prior 7-day total transaction amount 3615.21; prior 14-day transaction count 80; prior 14-day fraud rate 0.025000; recent 7-day transaction-count change versus the preceding 7 days -12.
